variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	notes
group_1000	9.89E-01	8.06E-01	1.00E+00	-3.84E-01	6.73E+00	-1.29E+00	5.93E-01	-1.47E+00	2.55E+00	2.07E+00	1.65E+00	2.75E+00	-2.53E+00	-3.55E+00	2.40E+00	2.80E+00	-2.25E+00	8.11E-01	bad-chisq
group_10043	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_10054	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1024	9.89E-01	2.89E-01	1.00E+00	6.45E-01	6.77E+00	-2.29E+00	5.37E-01	-1.42E+00	2.45E+00	2.06E+00	1.57E+00	2.68E+00	-2.57E+00	-3.44E+00	2.35E+00	2.73E+00	-2.25E+00	8.12E-01	bad-chisq
group_1032	9.89E-01	8.06E-01	1.00E+00	-9.46E-02	6.74E+00	-1.58E+00	5.78E-01	-1.48E+00	2.55E+00	2.08E+00	1.62E+00	2.75E+00	-2.53E+00	-3.54E+00	2.38E+00	2.81E+00	-2.25E+00	8.09E-01	bad-chisq
group_10438	9.89E-01	1.21E-01	2.54E-01	-2.05E+00	6.72E+00	3.54E-01	7.36E-01	-1.47E+00	2.42E+00	2.06E+00	1.63E+00	2.74E+00	-2.53E+00	-3.53E+00	2.39E+00	2.76E+00	-2.25E+00	8.19E-01	bad-chisq
ydgJ	9.89E-01	1.21E-01	8.49E-01	-6.83E-01	6.72E+00	-9.90E-01	5.81E-01	-1.46E+00	2.50E+00	2.06E+00	1.64E+00	2.70E+00	-2.48E+00	-3.47E+00	2.37E+00	2.80E+00	-2.25E+00	7.98E-01	bad-chisq
putA	9.89E-01	8.06E-01	1.00E+00	-1.19E+00	6.74E+00	-4.88E-01	6.05E-01	-1.60E+00	2.50E+00	2.04E+00	1.66E+00	2.74E+00	-2.51E+00	-3.54E+00	2.41E+00	2.82E+00	-2.24E+00	8.16E-01	bad-chisq
group_11083	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1110	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
antA	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1112	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1113	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1114	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_11186	9.89E-01	8.06E-01	1.00E+00	2.36E-01	6.73E+00	-1.91E+00	5.88E-01	-1.51E+00	2.57E+00	2.10E+00	1.65E+00	2.80E+00	-2.52E+00	-3.54E+00	2.40E+00	2.82E+00	-2.26E+00	8.14E-01	bad-chisq
group_1131	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1133	9.89E-01	1.21E-01	6.39E-01	-8.85E-01	6.71E+00	-7.97E-01	6.28E-01	-1.43E+00	2.50E+00	2.03E+00	1.67E+00	2.71E+00	-2.51E+00	-3.54E+00	2.41E+00	2.79E+00	-2.24E+00	8.12E-01	bad-chisq
group_1134	9.89E-01	1.21E-01	6.39E-01	-8.85E-01	6.71E+00	-7.97E-01	6.28E-01	-1.43E+00	2.50E+00	2.03E+00	1.67E+00	2.71E+00	-2.51E+00	-3.54E+00	2.41E+00	2.79E+00	-2.24E+00	8.12E-01	bad-chisq
group_1135	9.89E-01	1.21E-01	6.39E-01	-8.85E-01	6.71E+00	-7.97E-01	6.28E-01	-1.43E+00	2.50E+00	2.03E+00	1.67E+00	2.71E+00	-2.51E+00	-3.54E+00	2.41E+00	2.79E+00	-2.24E+00	8.12E-01	bad-chisq
group_1137	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1139	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1140	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1141	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
acnA	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
