variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	notes
group_4573	9.71E-01	2.47E-06	1.97E-07	-2.01E+01	6.34E+00	1.76E+01	1.03E+01	-1.18E+00	-3.88E+00	-1.31E+00	3.61E+00	1.28E+00	-2.69E+00	-7.95E-01	1.31E+00	1.50E-01	-1.70E+00	1.40E+00	bad-chisq
group_5771	9.68E-01	5.57E-07	6.82E-08	-1.98E+01	6.30E+00	1.74E+01	1.02E+01	-1.09E+00	-3.78E+00	-1.32E+00	3.61E+00	1.24E+00	-2.73E+00	-9.15E-01	1.36E+00	2.32E-01	-1.70E+00	1.38E+00	bad-chisq
group_5772	9.68E-01	5.57E-07	6.82E-08	-1.98E+01	6.30E+00	1.74E+01	1.02E+01	-1.09E+00	-3.78E+00	-1.32E+00	3.61E+00	1.24E+00	-2.73E+00	-9.15E-01	1.36E+00	2.32E-01	-1.70E+00	1.38E+00	bad-chisq
group_5773	9.68E-01	5.57E-07	6.82E-08	-1.98E+01	6.30E+00	1.74E+01	1.02E+01	-1.09E+00	-3.78E+00	-1.32E+00	3.61E+00	1.24E+00	-2.73E+00	-9.15E-01	1.36E+00	2.32E-01	-1.70E+00	1.38E+00	bad-chisq
group_11899	9.64E-01	1.25E-07	2.37E-08	-2.09E+01	6.28E+00	1.84E+01	1.07E+01	-9.99E-01	-4.36E+00	-1.55E+00	3.66E+00	1.02E+00	-2.59E+00	-5.67E-01	1.15E+00	-1.07E-01	-1.71E+00	1.44E+00	bad-chisq
phnW	9.64E-01	1.25E-07	2.37E-08	-2.09E+01	6.28E+00	1.84E+01	1.07E+01	-9.99E-01	-4.36E+00	-1.55E+00	3.66E+00	1.02E+00	-2.59E+00	-5.67E-01	1.15E+00	-1.07E-01	-1.71E+00	1.44E+00	bad-chisq
group_1325	9.64E-01	1.25E-07	2.37E-08	-2.09E+01	6.28E+00	1.84E+01	1.07E+01	-9.99E-01	-4.36E+00	-1.55E+00	3.66E+00	1.02E+00	-2.59E+00	-5.67E-01	1.15E+00	-1.07E-01	-1.71E+00	1.44E+00	bad-chisq
group_1551	9.64E-01	1.25E-07	2.37E-08	-2.09E+01	6.28E+00	1.84E+01	1.07E+01	-9.99E-01	-4.36E+00	-1.55E+00	3.66E+00	1.02E+00	-2.59E+00	-5.67E-01	1.15E+00	-1.07E-01	-1.71E+00	1.44E+00	bad-chisq
group_2257	9.64E-01	1.25E-07	2.37E-08	-2.09E+01	6.28E+00	1.84E+01	1.07E+01	-9.99E-01	-4.36E+00	-1.55E+00	3.66E+00	1.02E+00	-2.59E+00	-5.67E-01	1.15E+00	-1.07E-01	-1.71E+00	1.44E+00	bad-chisq
pvcD	9.64E-01	1.25E-07	2.37E-08	-2.09E+01	6.28E+00	1.84E+01	1.07E+01	-9.99E-01	-4.36E+00	-1.55E+00	3.66E+00	1.02E+00	-2.59E+00	-5.67E-01	1.15E+00	-1.07E-01	-1.71E+00	1.44E+00	bad-chisq
