variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_1557	5.05E-02	2.94E-10	3.38E-14	9.89E-01	1.24E-01	4.35E-01	bad-chisq
group_2924	5.42E-02	9.27E-08	7.11E-14	9.76E-01	1.24E-01	4.30E-01	
group_7668	5.78E-02	5.06E-07	1.06E-13	9.70E-01	1.24E-01	4.27E-01	
group_7671	5.78E-02	5.06E-07	1.06E-13	9.70E-01	1.24E-01	4.27E-01	
group_7673	5.78E-02	5.06E-07	1.06E-13	9.70E-01	1.24E-01	4.27E-01	
group_7674	5.78E-02	5.06E-07	1.06E-13	9.70E-01	1.24E-01	4.27E-01	
group_7675	5.78E-02	5.06E-07	1.06E-13	9.70E-01	1.24E-01	4.27E-01	
socA	5.78E-02	5.06E-07	1.06E-13	9.70E-01	1.24E-01	4.27E-01	
group_7560	5.78E-02	5.06E-07	4.31E-13	9.21E-01	1.21E-01	4.17E-01	
group_1403	1.66E-01	3.15E-05	5.92E-13	-8.97E-01	1.19E-01	4.15E-01	bad-chisq
group_3118	1.01E-01	1.59E-04	8.12E-13	7.38E-01	9.82E-02	4.13E-01	
group_800	2.02E-01	6.73E-05	1.47E-12	6.18E-01	8.33E-02	4.08E-01	
group_2920	1.19E-01	3.19E-03	4.14E-12	7.01E-01	9.66E-02	4.01E-01	
group_3115	8.66E-02	1.78E-03	5.93E-11	7.97E-01	1.17E-01	3.80E-01	
group_7564	8.66E-02	1.78E-03	5.93E-11	7.97E-01	1.17E-01	3.80E-01	
group_7672	2.27E-01	7.13E-09	8.10E-11	5.20E-01	7.69E-02	3.78E-01	
group_842	2.92E-01	2.76E-03	8.16E-11	7.42E-01	1.10E-01	3.78E-01	
group_1476	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_2925	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_2926	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_2927	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_6681	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_6682	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_6683	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_6686	9.39E-02	5.72E-03	8.68E-11	7.88E-01	1.17E-01	3.77E-01	
group_102	2.96E-01	3.71E-03	1.07E-10	7.35E-01	1.09E-01	3.75E-01	
group_345	2.60E-01	1.65E-01	1.42E-09	5.50E-01	8.78E-02	3.53E-01	
