#largest_contig           ,n50                     ,n75                     ,assembly_len            ,num_of_contigs
6.013680000000000000e+05 3.165270000000000000e+05 1.698850000000000000e+05 6.697002000000000000e+06 4.400000000000000000e+01
6.013680000000000000e+05 3.165270000000000000e+05 1.698850000000000000e+05 6.697002000000000000e+06 4.400000000000000000e+01
4.176640000000000000e+05 2.637120000000000000e+05 1.241520000000000000e+05 6.694956000000000000e+06 5.300000000000000000e+01
4.176640000000000000e+05 2.637120000000000000e+05 1.241520000000000000e+05 6.694956000000000000e+06 5.300000000000000000e+01
5.067930000000000000e+05 2.111930000000000000e+05 1.133400000000000000e+05 6.690765000000000000e+06 6.300000000000000000e+01
5.067930000000000000e+05 2.111930000000000000e+05 1.133400000000000000e+05 6.690765000000000000e+06 6.300000000000000000e+01
5.138840000000000000e+05 1.042360000000000000e+05 5.619000000000000000e+03 1.098405200000000000e+07 1.366000000000000000e+03
5.138840000000000000e+05 1.042360000000000000e+05 5.619000000000000000e+03 1.098405200000000000e+07 1.366000000000000000e+03
6.630090000000000000e+05 2.637900000000000000e+05 1.284520000000000000e+05 6.693554000000000000e+06 5.200000000000000000e+01
6.630090000000000000e+05 2.637900000000000000e+05 1.284520000000000000e+05 6.693554000000000000e+06 5.200000000000000000e+01
5.067930000000000000e+05 2.436530000000000000e+05 1.335650000000000000e+05 6.693065000000000000e+06 5.500000000000000000e+01
5.067930000000000000e+05 2.436530000000000000e+05 1.335650000000000000e+05 6.693065000000000000e+06 5.500000000000000000e+01
3.832460000000000000e+05 1.637150000000000000e+05 1.003760000000000000e+05 6.893970000000000000e+06 9.400000000000000000e+01
3.832460000000000000e+05 1.637150000000000000e+05 1.003760000000000000e+05 6.893970000000000000e+06 9.400000000000000000e+01
4.063480000000000000e+05 1.810350000000000000e+05 1.004170000000000000e+05 6.890619000000000000e+06 9.600000000000000000e+01
4.063480000000000000e+05 1.810350000000000000e+05 1.004170000000000000e+05 6.890619000000000000e+06 9.600000000000000000e+01
8.736830000000000000e+05 2.275500000000000000e+05 1.080220000000000000e+05 6.902171000000000000e+06 8.600000000000000000e+01
8.736830000000000000e+05 2.275500000000000000e+05 1.080220000000000000e+05 6.902171000000000000e+06 8.600000000000000000e+01
4.466500000000000000e+05 1.368670000000000000e+05 8.150400000000000000e+04 6.889450000000000000e+06 1.200000000000000000e+02
4.466500000000000000e+05 1.368670000000000000e+05 8.150400000000000000e+04 6.889450000000000000e+06 1.200000000000000000e+02
4.634200000000000000e+05 2.709020000000000000e+05 1.204260000000000000e+05 6.618068000000000000e+06 5.900000000000000000e+01
4.634200000000000000e+05 2.709020000000000000e+05 1.204260000000000000e+05 6.618068000000000000e+06 5.900000000000000000e+01
5.122870000000000000e+05 2.406830000000000000e+05 1.335510000000000000e+05 6.618658000000000000e+06 6.200000000000000000e+01
5.122870000000000000e+05 2.406830000000000000e+05 1.335510000000000000e+05 6.618658000000000000e+06 6.200000000000000000e+01
5.157940000000000000e+05 7.259300000000000000e+04 8.953000000000000000e+03 1.101729800000000000e+07 9.920000000000000000e+02
5.157940000000000000e+05 7.259300000000000000e+04 8.953000000000000000e+03 1.101729800000000000e+07 9.920000000000000000e+02
4.987970000000000000e+05 9.101200000000000000e+04 1.330500000000000000e+04 1.138442000000000000e+07 6.880000000000000000e+02
4.987970000000000000e+05 9.101200000000000000e+04 1.330500000000000000e+04 1.138442000000000000e+07 6.880000000000000000e+02
3.909710000000000000e+05 1.742970000000000000e+05 1.166660000000000000e+05 6.824498000000000000e+06 7.700000000000000000e+01
3.909710000000000000e+05 1.742970000000000000e+05 1.166660000000000000e+05 6.824498000000000000e+06 7.700000000000000000e+01
4.620410000000000000e+05 2.430730000000000000e+05 1.357950000000000000e+05 6.861616000000000000e+06 9.700000000000000000e+01
4.620410000000000000e+05 2.430730000000000000e+05 1.357950000000000000e+05 6.861616000000000000e+06 9.700000000000000000e+01
4.791120000000000000e+05 1.462570000000000000e+05 8.337900000000000000e+04 8.318642000000000000e+06 1.028000000000000000e+03
4.791120000000000000e+05 1.462570000000000000e+05 8.337900000000000000e+04 8.318642000000000000e+06 1.028000000000000000e+03
6.808100000000000000e+05 3.252810000000000000e+05 1.359540000000000000e+05 6.452350000000000000e+06 4.700000000000000000e+01
6.808100000000000000e+05 3.252810000000000000e+05 1.359540000000000000e+05 6.452350000000000000e+06 4.700000000000000000e+01
6.184310000000000000e+05 2.304900000000000000e+05 1.359340000000000000e+05 6.458403000000000000e+06 5.600000000000000000e+01
6.184310000000000000e+05 2.304900000000000000e+05 1.359340000000000000e+05 6.458403000000000000e+06 5.600000000000000000e+01
6.184270000000000000e+05 2.638260000000000000e+05 1.340960000000000000e+05 6.449325000000000000e+06 5.100000000000000000e+01
6.184270000000000000e+05 2.638260000000000000e+05 1.340960000000000000e+05 6.449325000000000000e+06 5.100000000000000000e+01
7.740460000000000000e+05 3.738610000000000000e+05 2.514610000000000000e+05 6.452536000000000000e+06 4.100000000000000000e+01
7.740460000000000000e+05 3.738610000000000000e+05 2.514610000000000000e+05 6.452536000000000000e+06 4.100000000000000000e+01
