	ST	acsA	aroE	guaA	mutL	nuoD	ppsA	trpE
10	865	15	5	83	11	4	4	7
563	179	36	27	28	3	4	13	7
337	390	39	5	1	3	4	46	56
280	612	28	5	58	11	4	15	44
1201	244	17	5	12	3	14	4	7
1137	244	17	5	12	3	14	4	7
1030	589	15	5	11	3	4	12	7
557	179	36	27	28	3	4	13	7
1084	439	6	68	20	11	4	4	7
562	179	36	27	28	3	4	13	7
360	612	28	5	58	11	4	15	44
777	Novel_1	32	4	57	18	15	6	219
97	845	11	5	1	7	4	4	7
448	612	28	5	58	11	4	15	44
645	Novel_2	11	2	6	3	4	38	3
737	676	28	5	11	77	3	4	92
580	1858	17	2	11	3	81	38	3
395	385	15	5	5	5	50	4	14
696	Novel_3	15	5	11	198	2	7	68
1187	644	28	3	94	13	1	4	10
453	2524	17	5	11	72	3	4	3
315	155	28	5	36	3	3	13	7
1202	244	17	5	12	3	14	4	7
818	244	17	5	12	3	14	4	7
23	865	15	5	83	11	4	4	7
1034	663	6	5	11	29	3	15	1
1043	17	11	5	1	7	9	4	7
558	390	39	5	1	3	4	46	56
577	871	16	3	1	5	1	55	61
977	882	17	5	11	3	4	6	37
385	17	11	5	1	7	9	4	7
17	865	15	5	83	11	4	4	7
819	244	17	5	12	3	14	4	7
411	198	11	5	11	11	3	27	7
1096	2537	11	5	36	77	27	29	2
1199	244	17	5	12	3	14	4	7
152	845	11	5	1	7	4	4	7
650	296	44	8	5	3	15	6	26
670	27	6	5	6	7	4	6	7
785	1189	72	5	11	72	3	105	3
459	2524	17	5	11	72	3	4	3
815	Novel_4	17	5	12	3	1	1	7
1142	244	17	5	12	3	14	4	7
38	274	23	5	11	7	1	12	7
1069	381	11	20	1	65	4	4	10
1076	439	6	68	20	11	4	4	7
405	198	11	5	11	11	3	27	7
1031	663	6	5	11	29	3	15	1
1121	875	16	5	36	3	4	13	7
367	708	11	3	11	3	1	4	60
1090	2537	11	5	36	77	27	29	2
1070	381	11	20	1	65	4	4	10
1042	639	11	19	19	3	4	4	7
771	Novel_5	152	5	1	7	1	1	7
1113	875	16	5	36	3	4	13	7
251	27	6	5	6	7	4	6	7
325	198	11	5	11	11	3	27	7
43	381	11	20	1	65	4	4	10
471	244	17	5	12	3	14	4	7
571	242	28	5	5	11	3	15	44
431	299	17	5	36	3	3	7	3
972	2625	114	73	32	3	4	4	1
569	242	28	5	5	11	3	15	44
692	Novel_3	15	5	11	198	2	7	68
999	1930	6	5	1	3	2	7	7
1056	252	6	28	4	3	3	4	7
743	676	28	5	11	77	3	4	92
51	381	11	20	1	65	4	4	10
160	845	11	5	1	7	4	4	7
669	27	6	5	6	7	4	6	7
433	299	17	5	36	3	3	7	3
674	27	6	5	6	7	4	6	7
551	390	39	5	1	3	4	46	56
1087	2537	11	5	36	77	27	29	2
507	242	28	5	5	11	3	15	44
1051	17	11	5	1	7	9	4	7
390	385	15	5	5	5	50	4	14
827	2933	16	3	6	146	3	4	14
26	865	15	5	83	11	4	4	7
553	390	39	5	1	3	4	46	56
742	676	28	5	11	77	3	4	92
736	676	28	5	11	77	3	4	92
1039	663	6	5	11	29	3	15	1
694	Novel_3	15	5	11	198	2	7	68
978	2625	114	73	32	3	4	4	1
343	390	39	5	1	3	4	46	56
693	Novel_3	15	5	11	198	2	7	68
525	1858	17	2	11	3	81	38	3
263	1858	17	2	11	3	81	38	3
52	381	11	20	1	65	4	4	10
541	390	39	5	1	3	4	46	56
14	865	15	5	83	11	4	4	7
304	1105	23	5	12	30	1	4	7
317	626	11	5	11	5	2	38	37
511	242	28	5	5	11	3	15	44
1040	663	6	5	11	29	3	15	1
380	17	11	5	1	7	9	4	7
1063	381	11	20	1	65	4	4	10
572	1930	6	5	1	3	2	7	7
1066	381	11	20	1	65	4	4	10
21	865	15	5	83	11	4	4	7
180	845	11	5	1	7	4	4	7
579	1858	17	2	11	3	81	38	3
418	Novel_6	17	5	11	2	52	4	2
1020	Novel_7	11	5	26	5	1	4	8
554	390	39	5	1	3	4	46	56
503	110	15	5	1	3	2	12	7
695	Novel_3	15	5	11	198	2	7	68
1032	663	6	5	11	29	3	15	1
1053	252	6	28	4	3	3	4	7
419	Novel_6	17	5	11	2	52	4	2
1083	439	6	68	20	11	4	4	7
979	2625	114	73	32	3	4	4	1
971	2625	114	73	32	3	4	4	1
1081	439	6	68	20	11	4	4	7
6	3124	17	5	1	63	4	15	2
565	1007	1	5	5	7	4	6	7
401	198	11	5	11	11	3	27	7
649	296	44	8	5	3	15	6	26
402	198	11	5	11	11	3	27	7
393	385	15	5	5	5	50	4	14
568	1007	1	5	5	7	4	6	7
217	155	28	5	36	3	3	13	7
275	612	28	5	58	11	4	15	44
1044	17	11	5	1	7	9	4	7
526	1858	17	2	11	3	81	38	3
559	390	39	5	1	3	4	46	56
791	1189	72	5	11	72	3	105	3
976	882	17	5	11	3	4	6	37
1141	244	17	5	12	3	14	4	7
480	2625	114	73	32	3	4	4	1
340	390	39	5	1	3	4	46	56
273	612	28	5	58	11	4	15	44
1033	663	6	5	11	29	3	15	1
1075	439	6	68	20	11	4	4	7
276	612	28	5	58	11	4	15	44
1086	17	11	5	1	7	9	4	7
974	2625	114	73	32	3	4	4	1
341	390	39	5	1	3	4	46	56
1119	875	16	5	36	3	4	13	7
472	27	6	5	6	7	4	6	7
327	198	11	5	11	11	3	27	7
1068	381	11	20	1	65	4	4	10
19	865	15	5	83	11	4	4	7
388	17	11	5	1	7	9	4	7
1138	244	17	5	12	3	14	4	7
648	296	44	8	5	3	15	6	26
475	110	15	5	1	3	2	12	7
282	612	28	5	58	11	4	15	44
991	381	11	20	1	65	4	4	10
789	Novel_8	72	5	11	72	1	105	3
842	1218	40	10	11	5	1	15	19
566	242	28	5	5	11	3	15	44
1022	589	15	5	11	3	4	12	7
668	27	6	5	6	7	4	6	7
1122	875	16	5	36	3	4	13	7
635	Novel_2	11	2	6	3	4	38	3
235	155	28	5	36	3	3	13	7
829	2933	16	3	6	146	3	4	14
250	155	28	5	36	3	3	13	7
836	2933	16	3	6	146	3	4	14
335	390	39	5	1	3	4	46	56
1188	644	28	3	94	13	1	4	10
1067	381	11	20	1	65	4	4	10
9999	1930	6	5	1	3	2	7	7
1062	381	11	20	1	65	4	4	10
831	2933	16	3	6	146	3	4	14
741	676	28	5	11	77	3	4	92
552	390	39	5	1	3	4	46	56
1139	244	17	5	12	3	14	4	7
994	840	6	5	4	11	4	12	16
53	381	11	20	1	65	4	4	10
428	299	17	5	36	3	3	7	3
44	381	11	20	1	65	4	4	10
130	845	11	5	1	7	4	4	7
330	390	39	5	1	3	4	46	56
36	274	23	5	11	7	1	12	7
1019	Novel_7	11	5	26	5	1	4	8
465	17	11	5	1	7	9	4	7
487	274	23	5	11	7	1	12	7
993	381	11	20	1	65	4	4	10
510	242	28	5	5	11	3	15	44
1041	639	11	19	19	3	4	4	7
828	2933	16	3	6	146	3	4	14
1196	244	17	5	12	3	14	4	7
1071	1684	39	6	9	11	3	3	2
290	179	36	27	28	3	4	13	7
740	676	28	5	11	77	3	4	92
430	299	17	5	36	3	3	7	3
1080	439	6	68	20	11	4	4	7
1200	244	17	5	12	3	14	4	7
8	865	15	5	83	11	4	4	7
303	1105	23	5	12	30	1	4	7
837	1218	40	10	11	5	1	15	19
544	390	39	5	1	3	4	46	56
640	296	44	8	5	3	15	6	26
1064	381	11	20	1	65	4	4	10
293	179	36	27	28	3	4	13	7
1079	439	6	68	20	11	4	4	7
786	1189	72	5	11	72	3	105	3
1108	875	16	5	36	3	4	13	7
844	Novel_9	11	10	11	5	1	15	19
821	244	17	5	12	3	14	4	7
259	1858	17	2	11	3	81	38	3
770	17	11	5	1	7	9	4	7
769	17	11	5	1	7	9	4	7
642	296	44	8	5	3	15	6	26
673	27	6	5	6	7	4	6	7
787	1189	72	5	11	72	3	105	3
973	2625	114	73	32	3	4	4	1
570	242	28	5	5	11	3	15	44
641	Novel_2	11	2	6	3	4	38	3
392	385	15	5	5	5	50	4	14
644	Novel_2	11	2	6	3	4	38	3
540	390	39	5	1	3	4	46	56
841	1218	40	10	11	5	1	15	19
788	1189	72	5	11	72	3	105	3
504	110	15	5	1	3	2	12	7
1197	244	17	5	12	3	14	4	7
447	612	28	5	58	11	4	15	44
310	155	28	5	36	3	3	13	7
581	1858	17	2	11	3	81	38	3
265	1858	17	2	11	3	81	38	3
1143	244	17	5	12	3	14	4	7
483	2238	6	10	1	3	27	4	7
502	110	15	5	1	3	2	12	7
288	179	36	27	28	3	4	13	7
225	155	28	5	36	3	3	13	7
1189	644	28	3	94	13	1	4	10
410	198	11	5	11	11	3	27	7
39	274	23	5	11	7	1	12	7
1061	381	11	20	1	65	4	4	10
505	110	15	5	1	3	2	12	7
406	198	11	5	11	11	3	27	7
1014	110	15	5	1	3	2	12	7
1094	2537	11	5	36	77	27	29	2
331	390	39	5	1	3	4	46	56
318	198	11	5	11	11	3	27	7
420	Novel_6	17	5	11	2	52	4	2
366	244	17	5	12	3	14	4	7
583	2339	11	5	11	5	1	6	2
820	244	17	5	12	3	14	4	7
476	110	15	5	1	3	2	12	7
457	2524	17	5	11	72	3	4	3
527	1858	17	2	11	3	81	38	3
358	612	28	5	58	11	4	15	44
30	274	23	5	11	7	1	12	7
342	390	39	5	1	3	4	46	56
646	Novel_2	11	2	6	3	4	38	3
634	Novel_2	11	2	6	3	4	38	3
7	865	15	5	83	11	4	4	7
636	Novel_2	11	2	6	3	4	38	3
1015	110	15	5	1	3	2	12	7
1110	875	16	5	36	3	4	13	7
404	198	11	5	11	11	3	27	7
1013	110	15	5	1	3	2	12	7
400	198	11	5	11	11	3	27	7
521	1858	17	2	11	3	81	38	3
578	111	17	5	5	4	4	4	3
691	Novel_3	15	5	11	198	2	7	68
379	17	11	5	1	7	9	4	7
336	390	39	5	1	3	4	46	56
817	244	17	5	12	3	14	4	7
539	390	39	5	1	3	4	46	56
1097	2537	11	5	36	77	27	29	2
427	Novel_6	17	5	11	2	52	4	2
1195	244	17	5	12	3	14	4	7
417	Novel_6	17	5	11	2	52	4	2
1050	17	11	5	1	7	9	4	7
513	164	1	5	1	11	4	10	10
196	845	11	5	1	7	4	4	7
992	840	6	5	4	11	4	12	16
375	257	35	24	36	11	4	15	14
298	348	22	20	11	3	3	3	7
738	676	28	5	11	77	3	4	92
473	27	6	5	6	7	4	6	7
432	299	17	5	36	3	3	7	3
270	1858	17	2	11	3	81	38	3
1023	589	15	5	11	3	4	12	7
1115	875	16	5	36	3	4	13	7
1029	589	15	5	11	3	4	12	7
1107	875	16	5	36	3	4	13	7
1136	244	17	5	12	3	14	4	7
840	1218	40	10	11	5	1	15	19
816	244	17	5	12	3	14	4	7
843	1218	40	10	11	5	1	15	19
391	385	15	5	5	5	50	4	14
652	2132	11	5	11	11	3	6	7
1190	644	28	3	94	13	1	4	10
1198	244	17	5	12	3	14	4	7
37	274	23	5	11	7	1	12	7
369	708	11	3	11	3	1	4	60
359	612	28	5	58	11	4	15	44
1088	2537	11	5	36	77	27	29	2
1021	589	15	5	11	3	4	12	7
833	2933	16	3	6	146	3	4	14
50	381	11	20	1	65	4	4	10
326	198	11	5	11	11	3	27	7
258	27	6	5	6	7	4	6	7
455	2524	17	5	11	72	3	4	3
508	242	28	5	5	11	3	15	44
814	244	17	5	12	3	14	4	7
1144	244	17	5	12	3	14	4	7
506	110	15	5	1	3	2	12	7
667	27	6	5	6	7	4	6	7
28	274	23	5	11	7	1	12	7
1095	2537	11	5	36	77	27	29	2
835	2933	16	3	6	146	3	4	14
446	612	28	5	58	11	4	15	44
1191	644	28	3	94	13	1	4	10
257	27	6	5	6	7	4	6	7
653	2132	11	5	11	11	3	6	7
1073	439	6	68	20	11	4	4	7
1085	17	11	5	1	7	9	4	7
512	242	28	5	5	11	3	15	44
1074	439	6	68	20	11	4	4	7
1055	252	6	28	4	3	3	4	7
1078	439	6	68	20	11	4	4	7
479	110	15	5	1	3	2	12	7
1112	875	16	5	36	3	4	13	7
450	612	28	5	58	11	4	15	44
200	845	11	5	1	7	4	4	7
501	110	15	5	1	3	2	12	7
323	626	11	5	11	5	2	38	37
575	871	16	3	1	5	1	55	61
1012	110	15	5	1	3	2	12	7
412	198	11	5	11	11	3	27	7
784	Novel_10	72	5	11	72	1	1	3
1120	875	16	5	36	3	4	13	7
739	676	28	5	11	77	3	4	92
332	390	39	5	1	3	4	46	56
987	381	11	20	1	65	4	4	10
429	299	17	5	36	3	3	7	3
509	242	28	5	5	11	3	15	44
1114	875	16	5	36	3	4	13	7
1045	17	11	5	1	7	9	4	7
409	198	11	5	11	11	3	27	7
45	381	11	20	1	65	4	4	10
567	1007	1	5	5	7	4	6	7
1024	589	15	5	11	3	4	12	7
832	2933	16	3	6	146	3	4	14
306	155	28	5	36	3	3	13	7
514	164	1	5	1	11	4	10	10
1109	875	16	5	36	3	4	13	7
1054	252	6	28	4	3	3	4	7
278	612	28	5	58	11	4	15	44
1046	17	11	5	1	7	9	4	7
